Speed, Unit, Time
12,Mbps,Wed Nov  1 13:23:14 2017
25,Mbps,Wed Nov  1 13:24:15 2017
25,Mbps,Wed Nov  1 13:25:15 2017
3.2,Mbps,Wed Nov  1 13:26:15 2017
16,Mbps,Wed Nov  1 13:27:15 2017
24,Mbps,Wed Nov  1 13:28:16 2017
7.8,Mbps,Wed Nov  1 13:29:16 2017
18,Mbps,Wed Nov  1 13:30:16 2017
24,Mbps,Wed Nov  1 13:31:17 2017
5.5,Mbps,Wed Nov  1 13:32:17 2017
17,Mbps,Wed Nov  1 13:33:17 2017
3.9,Mbps,Wed Nov  1 13:34:18 2017
22,Mbps,Wed Nov  1 13:35:18 2017
14,Mbps,Wed Nov  1 13:36:18 2017
13,Mbps,Wed Nov  1 13:37:18 2017
20,Mbps,Wed Nov  1 13:38:19 2017
23,Mbps,Wed Nov  1 13:39:19 2017
22,Mbps,Wed Nov  1 13:40:19 2017
25,Mbps,Wed Nov  1 13:41:20 2017
21,Mbps,Wed Nov  1 13:42:20 2017
25,Mbps,Wed Nov  1 13:43:20 2017
22,Mbps,Wed Nov  1 13:44:21 2017
21,Mbps,Wed Nov  1 13:45:21 2017
21,Mbps,Wed Nov  1 13:46:21 2017
24,Mbps,Wed Nov  1 13:47:22 2017
22,Mbps,Wed Nov  1 13:48:22 2017
25,Mbps,Wed Nov  1 13:49:22 2017
20,Mbps,Wed Nov  1 13:50:22 2017
25,Mbps,Wed Nov  1 13:51:23 2017
22,Mbps,Wed Nov  1 13:52:23 2017
25,Mbps,Wed Nov  1 13:53:23 2017
23,Mbps,Wed Nov  1 13:54:24 2017
25,Mbps,Wed Nov  1 13:55:24 2017
24,Mbps,Wed Nov  1 13:56:24 2017
19,Mbps,Wed Nov  1 13:57:25 2017
21,Mbps,Wed Nov  1 13:58:25 2017
